ERROR 2024-12-07 20:04:27,315 basehttp 46396 5560 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:04:30,290 basehttp 16960 57716 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:04:59,289 basehttp 51852 31500 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:05:08,265 basehttp 51852 31500 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:05:39,322 basehttp 27548 35168 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:05:42,420 basehttp 27548 35168 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:05:43,996 basehttp 27548 35168 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:05:44,012 basehttp 27548 35276 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:05:50,046 basehttp 27548 35168 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:05:50,061 basehttp 27548 23984 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 23:46:44,311 basehttp 21056 45196 "GET /api/submissions/department-breakdown/?board=1&academic_year=1 HTTP/1.1" 500 329
ERROR 2024-12-07 23:47:31,247 basehttp 57036 64884 "GET /api/submissions/department-breakdown/?board=1&academic_year=1 HTTP/1.1" 500 329
ERROR 2024-12-07 23:47:33,461 basehttp 57036 64884 "GET /api/submissions/department-breakdown/?board=1&academic_year=1 HTTP/1.1" 500 329
ERROR 2024-12-07 23:47:35,471 basehttp 57036 60428 "GET /api/submissions/department-breakdown/?board=1&academic_year=1 HTTP/1.1" 500 329
ERROR 2024-12-07 23:47:42,702 basehttp 57036 60428 "GET /api/submissions/department-breakdown/?board=1&academic_year=1 HTTP/1.1" 500 329
ERROR 2024-12-07 23:47:51,898 basehttp 57036 60428 "GET /api/submissions/department-breakdown/?board=1&academic_year=1 HTTP/1.1" 500 329
ERROR 2024-12-07 23:47:52,916 basehttp 57036 60428 "GET /api/submissions/department-breakdown/?board=1&academic_year=1 HTTP/1.1" 500 329
ERROR 2024-12-07 23:47:55,946 basehttp 57036 60428 "GET /api/submissions/department-breakdown/?board=1&academic_year=1 HTTP/1.1" 500 329
ERROR 2024-12-07 23:47:59,095 basehttp 57036 18600 "GET /api/submissions/department-breakdown/?board=1&academic_year=1 HTTP/1.1" 500 329
ERROR 2024-12-07 23:48:00,686 basehttp 57036 64884 "GET /api/submissions/department-breakdown/?board=1&academic_year=1 HTTP/1.1" 500 329
ERROR 2024-12-07 23:48:01,697 basehttp 57036 8964 "GET /api/submissions/department-breakdown/?board=1&academic_year=1 HTTP/1.1" 500 329
ERROR 2024-12-08 01:33:52,764 basehttp 49700 63124 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:33:52,776 basehttp 49700 50180 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:34:22,195 basehttp 49700 50180 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:34:22,374 basehttp 49700 63124 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:35:46,257 basehttp 49700 63124 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:35:46,426 basehttp 49700 50180 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:35:52,087 basehttp 49700 63124 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:35:52,259 basehttp 49700 41972 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:35:52,417 basehttp 49700 66812 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:35:52,598 basehttp 49700 52380 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:36:14,726 basehttp 49700 52380 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:36:14,916 basehttp 49700 66656 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:37:32,929 basehttp 49700 42244 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:37:32,939 basehttp 49700 42244 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:38:47,889 basehttp 49700 66656 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:38:48,065 basehttp 49700 52380 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:40:30,662 basehttp 49700 42244 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:40:31,191 basehttp 49700 66812 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:40:34,223 basehttp 49700 66812 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:40:34,404 basehttp 49700 66656 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:40:39,781 basehttp 49700 66812 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:40:39,949 basehttp 49700 63124 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:40:40,113 basehttp 49700 41972 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:40:40,293 basehttp 49700 50180 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:40:40,847 basehttp 49700 50180 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:40:41,022 basehttp 49700 52380 "GET /api/templates/edit/?board=2&academic_year=1 HTTP/1.1" 500 105
ERROR 2024-12-08 01:44:12,254 basehttp 49700 47248 "GET /api/templates/1.1/sections/0/data/?board=2&academic_year=1 HTTP/1.1" 500 72
ERROR 2024-12-08 01:44:12,268 basehttp 49700 47248 "GET /api/templates/1.1/sections/0/data/?board=2&academic_year=1 HTTP/1.1" 500 72
ERROR 2024-12-08 02:25:37,556 basehttp 54228 50588 "GET /user/audit-logs/?type=all&days=7&board=3&academic_year=1 HTTP/1.1" 500 110835
ERROR 2024-12-08 02:26:01,284 basehttp 54228 50588 "GET /user/audit-logs/?type=all&days=7&board=3&academic_year=1 HTTP/1.1" 500 110835
ERROR 2024-12-11 00:42:25,233 exception 30260 6068 Invalid HTTP_HOST header: 'localhost:8000'. You may need to add 'localhost' to ALLOWED_HOSTS.
Traceback (most recent call last):
  File "E:\eXcentriX\Projects\accredit\accredit_server\.venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "E:\eXcentriX\Projects\accredit\accredit_server\.venv\Lib\site-packages\django\utils\deprecation.py", line 128, in __call__
    response = self.process_request(request)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\eXcentriX\Projects\accredit\accredit_server\.venv\Lib\site-packages\django\middleware\security.py", line 28, in process_request
    host = self.redirect_host or request.get_host()
                                 ^^^^^^^^^^^^^^^^^^
  File "E:\eXcentriX\Projects\accredit\accredit_server\.venv\Lib\site-packages\django\http\request.py", line 151, in get_host
    raise DisallowedHost(msg)
django.core.exceptions.DisallowedHost: Invalid HTTP_HOST header: 'localhost:8000'. You may need to add 'localhost' to ALLOWED_HOSTS.
ERROR 2024-12-11 00:42:25,465 exception 30260 29560 Invalid HTTP_HOST header: 'localhost:8000'. You may need to add 'localhost' to ALLOWED_HOSTS.
Traceback (most recent call last):
  File "E:\eXcentriX\Projects\accredit\accredit_server\.venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "E:\eXcentriX\Projects\accredit\accredit_server\.venv\Lib\site-packages\django\utils\deprecation.py", line 128, in __call__
    response = self.process_request(request)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\eXcentriX\Projects\accredit\accredit_server\.venv\Lib\site-packages\django\middleware\security.py", line 28, in process_request
    host = self.redirect_host or request.get_host()
                                 ^^^^^^^^^^^^^^^^^^
  File "E:\eXcentriX\Projects\accredit\accredit_server\.venv\Lib\site-packages\django\http\request.py", line 151, in get_host
    raise DisallowedHost(msg)
